scenario,Noeud,A,Gamma,P,I,R,DE
avec_deception,T1566@H1,1.0,1.0,0.55,0.5,0.275,0.0
avec_deception,T1190@H2,1.0,1.0,0.35,0.5,0.175,0.0
avec_deception,T1003@H3,0.7075,0.571,0.5660000000000001,0.5,0.28300000000000003,0.429
avec_deception,T1078@H3,0.323186,1.0,0.24238949999999998,0.5,0.12119474999999999,0.0
avec_deception,T1059@H4,0.08079649999999994,1.0,0.04443807499999997,0.5,0.022219037499999986,0.0
avec_deception,T1057@H5,0.08079649999999994,1.0,0.04039824999999997,0.5,0.020199124999999984,0.0
avec_deception,T1082@H6,0.08079649999999994,1.0,0.04039824999999997,0.5,0.020199124999999984,0.0
avec_deception,T1041@H7,0.044438074999999966,1.0,0.031106652499999974,0.6699999999999999,0.02084145717499998,0.0
sans_deception,T1566@H1,1.0,1.0,0.55,0.5,0.275,0.0
sans_deception,T1190@H2,1.0,1.0,0.35,0.5,0.175,0.0
sans_deception,T1003@H3,0.7075,1.0,0.5660000000000001,0.5,0.28300000000000003,0.0
sans_deception,T1078@H3,0.5660000000000001,1.0,0.42450000000000004,0.5,0.21225000000000002,0.0
sans_deception,T1059@H4,0.14149999999999996,1.0,0.07782499999999998,0.5,0.03891249999999999,0.0
sans_deception,T1057@H5,0.14149999999999996,1.0,0.07074999999999998,0.5,0.03537499999999999,0.0
sans_deception,T1082@H6,0.14149999999999996,1.0,0.07074999999999998,0.5,0.03537499999999999,0.0
sans_deception,T1041@H7,0.07782500000000003,1.0,0.05447750000000002,0.6699999999999999,0.03649992500000001,0.0
